,PK_MachineTrainId,Machine_Train,Machine_Train_Long_Name,FK_DrivenUnitTypeId,FK_AreaId,FK_RouteId,MachineTrain_IsActive
0,1,0E-1113A-M02,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
1,2,0E-1113B-M01,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
2,3,0E-1113B-M02,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
3,4,0E-1114-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
4,5,0E-1114-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
5,6,0E-1115-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
6,7,0E-1115-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
7,8,0E-1116-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
8,9,0E-1116-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
9,10,0E-1123A-M01,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
10,11,0E-1123A-M02,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
11,12,0E-1123B-M01,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
12,13,0E-1123B-M02,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
13,14,0E-1124-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
14,15,0E-1124-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
15,16,0E-1125-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
16,17,0E-1125-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
17,18,0E-1126-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
18,19,0E-1126-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
19,20,0E-1133A-M01,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
20,21,0E-1133A-M02,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
21,22,0E-1133B-M01,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
22,23,0E-1133B-M02,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
23,24,0E-1134-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
24,25,0E-1134-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
25,38,0E-1135-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
26,39,0E-1135-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
27,40,0E-1136-M01,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
28,41,0E-1136-M02,STAB OVHD COMPRESSOR RECYCLE COOLER FAN,2,1,24.0,1
29,42,0P-1111,STABILIZER BOTTOM RECYCLE PUMP,1,1,7.0,1
30,43,0P-1121,STABILIZER BOTTOMS RECYCLE PUMP,1,1,7.0,1
31,44,0P-1131,STABILIZER BOTTOMS RECYCLE PUMP,1,1,7.0,1
32,45,0E-1113A-M01,CONDENSATE STABILIZER BOTTOM COOLER FANS,2,1,24.0,1
33,46,0P-1205,AMINE CHARGE PUMP,1,2,5.0,1
34,47,1A-1205A,LEAN SOLVENT CHARGE PUMP LUBE OIL FAN,2,2,3.0,1
35,48,1A-1205B,LEAN SOLVENT CHARGE PUMP LUBE OIL FAN,2,2,3.0,1
36,49,1A-1205C,LEAN SOLVENT CHARGE PUMP LUBE OIL FAN,2,2,3.0,1
37,50,1E-1201A-M01,LEAN SOLVENT COOLER,2,2,22.0,1
38,51,1E-1201A-M02,LEAN SOLVENT COOLER,2,2,22.0,1
39,52,1E-1201B-M01,LEAN SOLVENT COOLER,2,2,22.0,1
40,53,1E-1201B-M02,LEAN SOLVENT COOLER,2,2,22.0,1
41,54,1E-1201C-M01,LEAN SOLVENT COOLER,2,2,22.0,1
42,55,1E-1201C-M02,LEAN SOLVENT COOLER,2,2,22.0,1
43,56,1E-1201D-M01,LEAN SOLVENT COOLER,2,2,22.0,1
44,57,1E-1201D-M02,LEAN SOLVENT COOLER,2,2,22.0,1
45,58,1E-1201E-M01,LEAN SOLVENT COOLER,2,2,22.0,1
46,59,1E-1201E-M02,LEAN SOLVENT COOLER,2,2,22.0,1
47,60,1E-1202A-M01,REGENERATOR OVERHEAD CONDENSER,2,2,22.0,1
48,61,1E-1202A-M02,REGENERATOR OVERHEAD CONDENSER,2,2,22.0,1
49,62,1E-1202B-M01,REGENERATOR OVERHEAD CONDENSER,2,2,22.0,1
50,63,1E-1202B-M02,REGENERATOR OVERHEAD CONDENSER,2,2,22.0,1
51,64,1P-1201A,LEAN SOLVENT BOOSTER PUMP,1,2,1.0,1
52,65,1P-1201B,LEAN SOLVENT BOOSTER PUMP,1,2,1.0,1
53,66,1P-1202A,LEAN SOLVENT CHARGE PUMP,1,2,1.0,1
54,67,1P-1202B,LEAN SOLVENT CHARGE PUMP,1,2,1.0,1
55,68,1P-1202C,LEAN SOLVENT CHARGE PUMP,1,2,1.0,1
56,69,1P-1203A,REGENERATOR REFLUX PUMP,1,2,1.0,1
57,70,1P-1203B,REGENERATOR REFLUX PUMP,1,2,1.0,1
58,71,1P-1204A,WASH WATER PUMP,1,2,1.0,1
59,72,1P-1204B,WASH WATER PUMP,1,2,1.0,1
60,73,1P-1207A,WASH WATER RECIRCULATING PUMP,1,2,1.0,1
61,74,1P-1207B,WASH WATER RECIRCULATING PUMP,1,2,1.0,1
62,75,2E-1201A-M01,LEAN SOLVENT COOLER,2,2,23.0,1
63,76,2E-1201A-M02,LEAN SOLVENT COOLER,2,2,23.0,1
64,77,2E-1201B-M01,LEAN SOLVENT COOLER,2,2,23.0,1
65,78,2E-1201B-M02,LEAN SOLVENT COOLER,2,2,23.0,1
66,79,2E-1201C-M01,LEAN SOLVENT COOLER,2,2,23.0,1
67,80,2E-1201C-M02,LEAN SOLVENT COOLER,2,2,23.0,1
68,81,2E-1201D-M01,LEAN SOLVENT COOLER,2,2,23.0,1
69,82,2E-1201D-M02,LEAN SOLVENT COOLER,2,2,23.0,1
70,83,2E-1201E-M01,LEAN SOLVENT COOLER,2,2,23.0,1
71,84,2E-1201E-M02,LEAN SOLVENT COOLER,2,2,23.0,1
72,85,2E-1202A-M01,REGENERATOR OVERHEAD CONDENSER,2,2,23.0,1
73,86,2E-1202A-M02,REGENERATOR OVERHEAD CONDENSER,2,2,23.0,1
74,87,2E-1202B-M01,REGENERATOR OVERHEAD CONDENSER,2,2,23.0,1
75,88,2E-1202B-M02,REGENERATOR OVERHEAD CONDENSER,2,2,23.0,1
76,89,2P-1201A,LEAN SOLVENT BOOSTER PUMP,1,2,2.0,1
77,90,2P-1201B,LEAN SOLVENT BOOSTER PUMP,1,2,2.0,1
78,91,2P-1202A,LEAN SOLVENT CHARGE PUMP,1,2,2.0,1
79,92,2P-1202B,LEAN SOLVENT CHARGE PUMP,1,2,2.0,1
80,93,2P-1202C,LEAN SOLVENT CHARGE PUMP,1,2,2.0,1
81,94,2P-1203A,REGENERATOR REFLUX PUMP,1,2,2.0,1
82,95,2P-1203B,REGENERATOR REFLUX PUMP,1,2,2.0,1
83,96,2P-1204A,WASH WATER PUMP,1,2,2.0,1
84,97,2P-1204B,WASH WATER PUMP,1,2,2.0,1
85,98,2P-1207A,WASH WATER RECIRCULATING PUMP,1,2,2.0,1
86,99,2P-1207B,WASH WATER RECIRCULATING PUMP,1,2,2.0,1
87,100,2A-1205A,LEAN SOLVENT CHARGE PUMP LUBE OIL FAN,2,2,4.0,1
88,101,2A-1205B,LEAN SOLVENT CHARGE PUMP LUBE OIL FAN,2,2,4.0,1
89,102,2A-1205C,LEAN SOLVENT CHARGE PUMP LUBE OIL FAN,2,2,4.0,1
90,103,1E-1301-M01,REGENERATION GAS COOLER,2,4,22.0,1
91,104,1E-1301-M02,REGENERATION GAS COOLER,2,4,22.0,1
92,105,2E-1301-M01,REGENERATION GAS COOLER,2,4,23.0,1
93,106,2E-1301-M02,REGENERATION GAS COOLER,2,4,23.0,1
94,107,2A-1411A,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,4.0,1
95,108,2A-1411B,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,4.0,1
96,109,2A-1411C,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,4.0,1
97,110,1A-1411A,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,3.0,1
98,111,1A-1411B,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,3.0,1
99,112,1A-1411C,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,3.0,1
100,113,1A-1412A,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,3.0,1
101,114,1A-1412B,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,3.0,1
102,115,1A-1412C,AXIAL FAN - SYNTHETIC OIL COOLER FAN,2,3,3.0,1
103,116,1A-1461A,CENTRIFUGAL FAN - VENTILATION FAN,2,3,3.0,1
104,117,1A-1461B,CENTRIFUGAL FAN - VENTILATION FAN,2,3,3.0,1
105,118,1A-1462A,CENTRIFUGAL FAN - VENTILATION FAN,2,3,3.0,1
106,119,1A-1462B,CENTRIFUGAL FAN - VENTILATION FAN,2,3,3.0,1
107,120,1E-1415-M01,PROPANE COMPRESSOR MINERAL LUBE OIL COOLER,2,3,15.0,1
108,121,1E-1415-M02,PROPANE COMPRESSOR MINERAL LUBE OIL COOLER,2,3,15.0,1
109,122,1E-1415-M03,PROPANE COMPRESSOR MINERAL LUBE OIL COOLER,2,3,15.0,1
110,123,1E-1425-M01,PROPANE COMPRESSOR MINERAL LUBE OIL COOLER,2,3,15.0,1
111,124,1E-1425-M02,PROPANE COMPRESSOR MINERAL LUBE OIL COOLER,2,3,15.0,1
112,125,1E-1425-M03,PROPANE COMPRESSOR MINERAL LUBE OIL COOLER,2,3,15.0,1
113,126,1E-1401AA-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
114,127,1E-1401AA-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
115,128,1E-1401AA-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
116,129,1E-1401AB-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
117,130,1E-1401AB-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
118,131,1E-1401AB-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
119,132,1E-1401AC-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
120,133,1E-1401AC-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
121,134,1E-1401AC-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
122,135,1E-1401AD-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
123,136,1E-1401AD-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
124,137,1E-1401AD-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
125,138,1E-1401AE-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
126,139,1E-1401AE-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
127,140,1E-1401AE-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
128,141,1E-1401AF-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
129,142,1E-1401AF-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
130,143,1E-1401AF-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
131,144,1E-1401AG-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
132,145,1E-1401AG-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
133,146,1E-1401AG-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
134,147,1E-1401AH-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
135,148,1E-1401AH-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
136,149,1E-1401AH-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
137,150,1E-1401AI-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
138,151,1E-1401AI-M02,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
139,152,1E-1401AI-M03,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
140,153,1E-1401AJ-M01,PROPANE REFRIGERANT CONDENSER,2,3,19.0,1
